background,x,y,bio3,bio4,bio7,bio11,bio12
background,-1.5,40.000007823,37.6666679382324,6145.61474609375,283.83349609375,51.1665077209473,472.083343505859
background,-100.5,28.000007823,43.527774810791,6331.88916015625,314.138916015625,128.361083984375,464.638641357422
background,-100.5,49.000007823,25.8611087799072,12475.8056640625,488.749969482422,-138.916687011719,439.638885498047
background,-103.5,49.000007823,27.5277729034424,11937.1943359375,479.972229003906,-124.88890838623,389.527679443359
background,-103.5,76.000007823,13.8666639328003,14129.93359375,452.199981689453,-344.733306884766,79.4666213989258
background,-106.5,34.000007823,46.0277786254883,7413.11279296875,376.750091552734,19.5832691192627,337.361053466797
background,-115.5,79.000007823,11.6666669845581,14457.3330078125,453.333343505859,-359.333312988281,74
background,-13.5,7.000007823,71.1666946411133,884.000122070312,105.999801635742,250.999877929688,3364.83227539062
background,-154.5,19.000007823,71.6666641235352,1102.33349609375,120.666648864746,171.000045776367,1848.83422851562
background,-157.5,1.000007823,89,188.999694824219,74,274.999969482422,731.000549316406
background,-16.5,82.000007823,16.9999866485596,12152.0029296875,393.250091552734,-277.250122070312,167.812561035156
background,-169.5,-19.999992177,61,1270,93,229,2068.99975585938
background,-172.5,-13.999992177,83.5,383.500213623047,65.5000076293945,254.999938964844,3146.50659179688
background,-172.5,-19.999992177,62.5,1227.5,93.5,233,2193.5
background,-175.5,52.000007823,29.9999980926514,3533.75,152.5,1.74996328353882,1450.5
background,-19.5,67.000007823,33.2499923706055,4334.49951171875,178.124954223633,-32.9999580383301,792.249633789062
background,-19.5,73.000007823,21.2856998443604,9038.5732421875,316.857208251953,-211.000198364258,287.429077148438
background,-28.5,-19.999992177,17,1704.99951171875,58,221.999862670898,749.000610351562
background,-28.5,82.000007823,17.1944446563721,11963.0546875,394.638885498047,-322.222229003906,205.666717529297
background,-37.5,-7.999992177,69.5000152587891,1482.30493164062,137.638931274414,212.472305297852,682.138916015625
background,-4.5,19.000007823,49.5277709960938,5883.333984375,344.666625976562,203.361114501953,53.2499084472656
background,-4.5,34.000007823,41.0833549499512,5930.4677734375,307.610992431641,83.7502136230469,491.111907958984
background,-4.5,46.000007823,37,4110.99951171875,177.999954223633,64,949.999938964844
background,-40.5,-13.999992177,67.8055725097656,1329.00024414062,133.83349609375,202.499816894531,909.886108398438
background,-43.5,-16.999992177,68.5277862548828,1697.166015625,184.722274780273,191.916809082031,1076.86059570312
background,-46.5,67.000007823,17.7222328186035,8570.3349609375,296.500061035156,-214.749923706055,956.748718261719
background,-46.5,70.000007823,15.1666631698608,9335.611328125,318.527801513672,-254.027725219727,805.471435546875
background,-49.5,-31.999992177,44.0000114440918,3450.16650390625,181.666748046875,142.500030517578,1418.50036621094
background,-52.5,76.000007823,10.8333339691162,10549.638671875,349.5,-304.388854980469,489.166473388672
background,-52.5,82.000007823,13.6818208694458,11860.318359375,390.363647460938,-310.363616943359,207.681716918945
background,-55.5,4.000007823,77.3888778686523,645.472839355469,113.916664123535,253.77783203125,2331.05493164062
background,-58.5,-13.999992177,70.9166564941406,1073.05432128906,188.361145019531,220.527755737305,1807.38952636719
background,-58.5,-52.999992177,51.2499847412109,2567.50146484375,136.000061035156,22.6251182556152,567.62451171875
background,-61.5,-40.999992177,46.7142791748047,4968.57666015625,263.143127441406,76.4286117553711,380.142791748047
background,-64.5,-22.999992177,55.8889236450195,3920.61059570312,266.694549560547,117.305282592773,645.859802246094
background,-67.5,-19.999992177,65.5000228881836,3155.74853515625,261.888824462891,26.9444732666016,174.166793823242
background,-67.5,-55.999992177,51.5293960571289,2753.08935546875,150.852966308594,7.38241481781006,668.204711914062
background,-70.5,-52.999992177,48.1666526794434,3080.16943359375,162.111267089844,15.6388883590698,539.249572753906
background,-73.5,-34.999992177,52.500072479248,3546.7373046875,216.249481201172,85.0002822875977,928.747436523438
background,-73.5,-52.999992177,47.0666694641113,2616.3994140625,139.866638183594,22.7999324798584,2246.50244140625
background,-73.5,22.000007823,56.6666374206543,1821.16711425781,122.000022888184,236,793.500061035156
background,-76.5,25.000007823,49.0937423706055,2396.93798828125,139.218765258789,218.187484741211,1058.68811035156
background,-79.5,-10.999992177,62,1904.00048828125,142.999969482422,169.000030517578,13.9998722076416
background,-79.5,67.000007823,15.5,12661.5,421.500030517578,-281.000030517578,187.499954223633
background,-88.5,43.000007823,26.5,10203.8076171875,402.0556640625,-58.8889656066895,845.9443359375
background,-91.5,49.000007823,24.4999923706055,12136.6689453125,479.972259521484,-150.972259521484,725.166564941406
background,-91.5,61.000007823,16,14873.3349609375,507.333374023438,-297.000030517578,297.333374023438
background,-94.5,34.000007823,36.6944389343262,7859.140625,354.972290039062,60.444408416748,1222.52734375
background,-94.5,37.000007823,32.9166603088379,8897.751953125,385.02783203125,18.2221755981445,1082.13854980469
background,-97.5,25.000007823,45.3333358764648,4882.62255859375,258.23828125,165.238021850586,695.570922851562
background,-97.5,28.000007823,40.0666809082031,5977.93603515625,288.500183105469,132.7666015625,769.299560546875
background,-97.5,31.000007823,38.4166641235352,7140.05712890625,335.083404541016,93.6943893432617,864.193969726562
background,-97.5,73.000007823,14.9615392684937,14178.0771484375,464.346160888672,-332.423095703125,114.730735778809
background,-97.5,76.000007823,14.619044303894,13919.9052734375,452.666687011719,-337.190490722656,112.904724121094
