x,y,IDP.event_allData_allRun logistic values
95.7214312933168,25.7352573931409,0.0
95.4851172933168,25.7328183931409,0.0
95.6913332933168,25.7317343931409,0.0
95.6856712933168,25.7303793931409,0.0
95.6767312933168,25.7208943931409,0.0
95.5068712933168,25.7149323931409,0.0
95.7226232933168,25.7135773931409,0.0
95.4621712933168,25.7130353931409,0.0
95.7083192933168,25.7116803931409,0.0
95.5095532933168,25.6954203931409,0.0
95.7229212933168,25.6935233931409,0.0
95.4782632933168,25.6929813931409,0.0
95.4717072933168,25.6918973931409,0.0
95.5104472933168,25.6881033931409,0.0
95.5557432933168,25.6872903931409,0.0
95.7878852933168,25.6821413931409,0.0
95.7703032933168,25.6818703931409,0.0
95.5926952933168,25.6815993931409,0.0
95.6665992933168,25.6813283931409,0.0
95.7390132933168,25.6810573931409,0.0
95.6511032933168,25.6794313931409,0.0
95.7363312933168,25.6778053931409,0.0
95.5244532933168,25.6769923931409,0.0
95.5465052933168,25.6759083931409,0.0
95.6359052933168,25.6748243931409,0.0
95.6248792933168,25.6742823931409,0.0
95.4866072933168,25.6731983931409,0.0
95.7357352933168,25.6731983931409,0.0
95.4672372933168,25.6726563931409,0.0
95.7953352933168,25.6680493931409,0.0
95.7694092933168,25.6675073931409,0.0
95.6338192933168,25.6642553931409,0.0
95.6826912933168,25.6615453931409,0.0
95.5435252933168,25.6604613931409,0.0
95.5578292933168,25.6582933931409,0.0
95.5947812933168,25.6577513931409,0.0
95.7437812933168,25.6577513931409,0.0
95.7714952933168,25.6577513931409,0.0
95.6236872933168,25.6566673931409,0.0
95.6382892933168,25.6547703931409,0.0
95.6466332933168,25.6544993931409,0.0
95.7261992933168,25.6507053931409,0.0
95.8892052933168,25.6501633931409,0.0
95.5703452933168,25.6466403931409,0.0
95.6365012933168,25.6458273931409,0.0
95.8230492933168,25.6455563931409,0.0
95.5196852933168,25.6439303931409,0.0
95.6829892933168,25.6428463931409,0.0
95.6326272933168,25.6417623931409,0.0
95.6075952933168,25.6406783931409,0.0
95.5110432933168,25.6404073931409,0.0
95.4472712933168,25.6401363931409,0.0
95.8600012933168,25.6360713931409,0.0
95.7509332933168,25.6352583931409,0.0
95.9401632933168,25.6336323931409,0.0
95.6207072933168,25.6325483931409,0.0
95.5959732933168,25.6320063931409,0.0
95.4609792933168,25.6314643931409,0.0
95.7500392933168,25.6314643931409,0.0
95.8477832933168,25.6311933931409,0.0
95.5128312933168,25.6306513931409,0.0
95.9184092933168,25.6284833931409,0.0
95.4913752933168,25.6271283931409,0.0
95.4690252933168,25.6260443931409,0.0
95.5310092933168,25.6252313931409,0.0
95.8999332933168,25.6252313931409,0.0
95.6457392933168,25.6241473931409,0.0
95.8078512933168,25.6225213931409,0.0
95.6883532933168,25.6219793931409,0.0
95.5861392933168,25.6208953931409,0.0
95.6677912933168,25.6195403931409,0.0
95.6207072933168,25.6184563931409,0.0
95.6582552933168,25.6179143931409,0.0
95.8567232933168,25.6168303931409,0.0
95.7863952933168,25.6162883931409,0.0
95.6096812933168,25.6160173931409,0.0
95.6683872933168,25.6119523931409,0.0
95.6937172933168,25.6119523931409,0.0
95.7631512933168,25.6116813931409,0.0
95.8382472933168,25.6114103931409,0.0
95.9404612933168,25.6097843931409,0.0
95.5086592933168,25.6081583931409,0.0
95.5736232933168,25.6081583931409,0.0
95.4916732933168,25.6051773931409,0.0
