background,x,y,elev,ndvi,slope,canopy_h,bio1,bio2,dist_patrol,dist_rd,dist_vlg,dist_water
background,95.4621712933168,25.7130353931409,174.811576814871,0.674208065013859,7.68811456677245,26.0548779227771,23.6718847733331,23.6718847733331,5965.94981063991,4880.37643250988,1617.44279663096,1381.63940602707
background,95.7229212933168,25.6935233931409,204.981003523919,0.671019285326816,32.568914101701,24.7716984579976,23.5619100213547,23.5619100213547,20614.9558836141,18136.8980996851,27503.6066586943,110.922232342498
background,95.5557432933168,25.6872903931409,194.580175728264,0.643015093115398,12.8033380005596,31.9433005007635,23.6523186623925,23.6523186623925,3892.54870817547,10048.4195371885,11257.4897607604,99.98362823762
background,95.4866072933168,25.6731983931409,206.310315826022,0.696553753685975,6.31269635896752,22.0746480776108,23.6145939527191,23.6145939527191,3858.42457706565,4261.50547555844,6619.04991284411,1124.73713789606
background,95.7357352933168,25.6731983931409,172.539851405506,0.757892012057475,6.14671561897887,19.048787781765,23.652859920546,23.652859920546,22021.5820410162,17473.3252448923,29130.3485885364,59.3945393846775
background,95.5947812933168,25.6577513931409,198.627769479516,0.691035784195834,4.15325612661109,29.8814270439861,23.6438142686211,23.6438142686211,8713.60819687456,6834.63346362383,16174.6728036405,1343.82188461401
background,95.7261992933168,25.6507053931409,231.261259798696,0.670280680323274,13.2888399019643,29.4880898755176,23.4800476048435,23.4800476048435,21483.7783236877,14853.274535961,28791.0466488602,1157.87355916351
background,95.8892052933168,25.6501633931409,299.413357882004,0.573020013486616,29.8119385443977,31.6380868523159,23.3733324793758,23.3733324793758,37633.3770608033,21108.399157917,34382.3377389911,514.298548368841
background,95.6207072933168,25.6325483931409,238.264673063673,0.725791384491402,8.43907883014457,32.0655876464772,23.5496085424132,23.5496085424132,12375.6421418123,5871.31598805548,19803.6114868449,2172.75668010288
background,95.7500392933168,25.6314643931409,226,0.693130223457003,2.97924224249124,29.9794722409804,23.562644314398,23.562644314398,24343.1234773763,13336.3324178161,31624.8379622262,861.56259121035
background,95.9184092933168,25.6284833931409,317.250327588088,0.782550288152209,15.6786512172633,16.1590947565106,23.2536628666631,23.2536628666631,40904.1273576779,21696.6668160008,32786.8735228416,1776.71190709459
background,95.6582552933168,25.6179143931409,226.198314678026,0.71084093042743,4.75254609428046,33.182310676958,23.5478164649022,23.5478164649022,16435.5253229097,8542.58701137822,23206.6916857971,1492.23847422525
background,95.6937172933168,25.6119523931409,253.558974433099,0.722580090080928,2.64004497911587,30.5192841277232,23.4440130380017,23.4440130380017,19874.994234079,9479.93927064258,26633.9000754597,1426.55948860891
background,95.9404612933168,25.6097843931409,281.379970879447,0.708858782940559,8.86832309104646,24.9712334586634,23.318202050593,23.318202050593,43485.7321429185,22431.3187175977,31228.408988681,1023.14316176248
background,95.7345432933168,25.5992153931409,229.274906650821,0.704067175805343,13.0245991818468,33.5785976016068,23.5147408739153,23.5147408739153,24177.8137028533,9594.23842045435,28440.388201071,1259.22985993758
background,95.8602992933168,25.5845813931409,238.259576867782,0.738865581181967,12.5685486771667,22.940311212481,23.5313518948336,23.5313518948336,36491.578707666,14110.3053043606,26630.2468601756,770.126979509484
background,95.7068292933168,25.5843103931409,222.247161029362,0.701779979037715,3.53707658450369,29.1407854542281,23.5063156746939,23.5063156746939,22546.6981257888,7728.53461578829,27681.1047768688,1466.49566907704
background,95.5786892933168,25.5826843931409,201.969532337376,0.683689348545444,1.78697095174459,33.100251877576,23.6426128642094,23.6426128642094,13750.5683648658,1356.63573006164,14864.2410283211,759.287166273221
background,95.5822652933168,25.5775353931409,205.220611952124,0.670268854496847,2.67485983205506,31.3260377891852,23.6310376297727,23.6310376297727,14421.7829094537,2013.06246436745,15230.8241551871,1239.56665928435
background,95.7369272933168,25.5761803931409,234.738001629089,0.699785804197136,17.5017134313842,23.8570361681449,23.47117637454,23.47117637454,25596.1227513672,7201.18018151817,25907.2505421146,1545.10376406569
background,95.5572332933168,25.5672373931409,206.920691124897,0.689690362809808,2.16803613857341,32.9997408876878,23.6439281930765,23.6439281930765,14572.2213794765,879.820654107561,12809.5903985987,1422.77802410536
background,95.6362032933168,25.5639853931409,219.963920623491,0.710309694901947,2.73440315736793,32.1213688056041,23.6018836556457,23.6018836556457,18673.0026306838,2464.77935379939,20740.1840174274,801.907982503243
background,95.6904392933168,25.5485383931409,219.576738289722,0.735800208649146,3.84326218382317,26.2290373987175,23.5293060611478,23.5293060611478,23673.3957274828,4272.08303339714,24710.8756616112,517.068255800031
background,95.5891192933168,25.5442023931409,215.331018165561,0.687028459860899,8.75734474978116,32.0037941517392,23.6042863292613,23.6042863292613,16879.3577579872,893.154047058163,16449.9727456069,1632.87894468419
background,95.7458672933168,25.5423053931409,254.953143566468,0.800677009467295,24.0592739842636,15.7967712342407,23.4712573200875,23.4712573200875,28418.7452814126,3446.53291364227,22047.5843736774,309.962753306634
background,95.4532312933168,25.5366143931409,194.987091510392,0.752161268457805,18.2424620281246,25.8638506542587,23.705117988241,23.705117988241,5214.83046130275,1970.87618215692,5487.2808299793,203.601417531725
background,95.8632792933168,25.5274003931409,262.438727312442,0.711948612178519,3.5638613038166,27.1586150416878,23.4606003180154,23.4606003180154,39324.6868194999,11968.6094094842,20579.627542647,2861.33998272126
background,95.7363312933168,25.5179153931409,216.981495552316,0.71437043539157,7.92262891201757,22.7859423593927,23.4762210950048,23.4762210950048,29372.1963515848,1194.41408710378,19750.932835021,1716.66107308188
background,95.6800092933168,25.5092433931409,227.609752312235,0.695767977593746,4.5833880673391,28.1498896885262,23.5705932044878,23.5705932044878,25146.7475100593,796.770838833991,21514.1131283111,1737.63167494017
background,95.5184932933168,25.4959643931409,198.525214188644,0.710017218648898,3.11802210682194,31.0561219676671,23.6882514012725,23.6882514012725,8849.19448221261,2711.11154829245,12966.4709831576,1728.24693779549
background,95.6516992933168,25.4935253931409,207.229127180058,0.682126757918938,4.90571417485471,32.5475257345937,23.6197625880672,23.6197625880672,22246.2495330167,1892.11664856314,21973.2176947032,1897.89157692855
background,95.6123632933168,25.4794333931409,199.53157297155,0.700147214406224,2.03003809023909,30.6720745260685,23.6961728534461,23.6961728534461,18364.4786655224,5753.95622673986,21491.6164755675,387.580214450977
background,95.5024012933168,25.4704903931409,206.631491403523,0.693576676826636,4.08510135123869,32.393088715789,23.6411349247097,23.6411349247097,7696.19129648359,463.532152932234,12187.5979117037,1499.48649251803
background,95.4764752933168,25.4675093931409,200.069777588409,0.705492721169239,3.21243426851926,31.5089177763877,23.675718549845,23.675718549845,5493.46234025334,1479.32315060235,9703.87220259252,113.81238981702
background,95.7336492933168,25.4274013931409,216.472513761477,0.7306369000888,11.9431116423876,23.1297604291515,23.6110140587224,23.6110140587224,24196.3876529767,579.256628410551,11014.6744338263,227.654405799694
background,95.5104472933168,25.4271303931409,216.760086025168,0.676067697896631,3.73775499373247,34.2129340711924,23.627991921466,23.627991921466,10957.4322834751,2321.5568322538,13079.5023445001,1554.34265729856
background,95.7235172933168,25.4244203931409,215.88362220864,0.649141106488599,5.56928677768782,34.4229131207663,23.5970661547477,23.5970661547477,23150.1470465799,391.657342294912,11443.3353585161,413.620567258286
background,95.4949512933168,25.4157483931409,214.896502310248,0.676868166905397,10.6085912494117,33.1358706043735,23.6505945966587,23.6505945966587,9753.23827996122,2549.00792944557,11737.8702208738,1374.33156218904
background,95.7455692933168,25.4146643931409,219.101634338166,0.694611246978994,3.2483841256715,22.3984056766268,23.6298133353257,23.6298133353257,24589.2596629327,551.404556328615,9162.57346701617,932.141570234762
background,95.6990812933168,25.4089733931409,202.980375699233,0.688818105940442,10.1956382594285,24.9070745072413,23.5451993577429,23.5451993577429,20161.664729468,1486.74943083357,12282.7669431795,102.732478384887
background,95.4097232933168,25.4073473931409,191.409599350349,0.700037165757548,2.58997136585345,27.8993592550015,23.7896234535108,23.7896234535108,3798.98718694134,1122.85319116572,4521.06123989367,362.074932537309
