Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.29628E-8,0.000001296,0.000000543,0.924285714,0.010799136,0
4.74739E-8,0.000006044,0.000001989,0.922857143,0.010799136,0
5.29077E-8,0.000011334,0.000002216,0.921428571,0.010799136,0
9.73531E-8,0.000034543,0.000004078,0.917142857,0.010799136,0
1.34272E-7,0.000060984,0.000005625,0.914285714,0.010799136,0
1.61408E-7,0.000104838,0.000006761,0.91,0.010799136,0
2.21948E-7,0.000267164,0.000009297,0.898571429,0.010799136,0
3.00686E-7,0.000505873,0.000012596,0.885714286,0.010799136,0
3.97676E-7,0.001009818,0.000016658,0.865714286,0.010799136,0
5.82381E-7,0.002557242,0.000024395,0.821428571,0.010799136,0
8.24015E-7,0.005029903,0.000034517,0.77,0.010799136,0
1.29984E-6,0.010126688,0.000054447,0.7,0.010799136,0
2.74517E-6,0.025244099,0.000114982,0.59,0.010799136,0
6.22408E-6,0.050582143,0.000260659,0.504285714,0.010799136,0
1.55114E-5,0.100024265,0.00064935,0.43,0.010799136,0
2.88184E-5,0.201121621,0.001205746,0.365714286,0.010799136,0
4.67288E-5,0.300052947,0.001953642,0.327142857,0.010799136,0
5.93116E-5,0.400467695,0.002478401,0.3,0.010799136,0
6.95521E-5,0.505925473,0.002905071,0.277142857,0.012958963,0
8.04549E-5,0.602567927,0.003358933,0.258571429,0.019438445,0
1.03833E-4,0.707181196,0.004330719,0.241428571,0.021598272,0
1.10856E-4,0.750066053,0.004622274,0.235714286,0.021598272,0
1.5483E-4,0.807149426,0.006444049,0.23,0.025917927,0
1.79254E-4,0.910096358,0.007452963,0.221428571,0.03887689,0
2.20225E-4,1.001274747,0.009140899,0.214285714,0.051835853,0
2.55398E-4,1.108539748,0.010585367,0.208571429,0.064794816,0
2.72499E-4,1.211475409,0.011286157,0.202857143,0.064794816,0
3.05553E-4,1.330412382,0.012637862,0.197142857,0.073434125,0
3.2146E-4,1.426666421,0.013287041,0.192857143,0.073434125,0
3.27094E-4,1.521155291,0.013516756,0.188571429,0.073434125,0
3.99918E-4,1.785183054,0.016476509,0.178571429,0.07775378,0
4.24721E-4,2.034315522,0.017480538,0.17,0.07775378,0
4.78543E-4,2.257713616,0.019652211,0.162857143,0.07775378,0
7.16899E-4,2.533797213,0.029155325,0.157142857,0.079913607,0
7.82006E-4,2.765686878,0.031719128,0.152857143,0.082073434,0
8.02726E-4,3.00508618,0.032532227,0.148571429,0.082073434,0
8.58153E-4,3.254536793,0.034700594,0.144285714,0.082073434,0
9.02433E-4,3.511192566,0.036425879,0.14,0.084233261,0
9.77222E-4,3.754312856,0.039325951,0.135714286,0.090712743,0
1.11106E-3,4.025670891,0.044472368,0.132857143,0.103671706,0
1.1259E-3,4.250648459,0.0450397,0.13,0.103671706,0
1.24908E-3,4.621947854,0.049722309,0.125714286,0.114470842,0
1.41526E-3,4.763474336,0.055967344,0.124285714,0.11663067,0
1.51572E-3,5.057148761,0.059702793,0.121428571,0.11663067,0
1.5505E-3,5.365902336,0.060989095,0.118571429,0.11663067,0
1.58614E-3,5.524516033,0.062303568,0.117142857,0.11663067,0
1.64578E-3,5.851053212,0.064495237,0.114285714,0.118790497,0
1.65842E-3,6.016894878,0.064958292,0.112857143,0.118790497,0
1.82683E-3,6.372778688,0.071085878,0.11,0.118790497,0
2.1047E-3,6.509198604,0.081022308,0.108571429,0.120950324,0
2.47004E-3,6.849193619,0.093767821,0.107142857,0.127429806,0
2.52097E-3,7.101290466,0.095516426,0.105714286,0.127429806,0
2.64026E-3,7.365316077,0.099585994,0.104285714,0.127429806,0
2.73508E-3,7.638823837,0.102794854,0.102857143,0.127429806,0
2.75831E-3,7.914654943,0.103577613,0.101428571,0.127429806,0
2.88382E-3,8.203037168,0.107782708,0.1,0.127429806,0
