Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.36573E-4,0.013657265,0.005388638,0.994285714,0,0
2.35545E-4,0.569845122,0.009257565,0.88,0,0
3.4112E-4,1.310592622,0.013351539,0.791428571,0,0
4.92515E-4,7.363554452,0.019163633,0.285714286,0.002159827,0
5.69712E-4,7.579450448,0.022100952,0.274285714,0.002159827,0
8.49435E-4,7.881641399,0.032598564,0.26,0.004319654,0
9.42198E-4,8.17565064,0.036030268,0.251428571,0.006479482,0
9.75031E-4,8.367373556,0.037239057,0.245714286,0.006479482,0
1.23016E-3,8.595264274,0.046529855,0.24,0.010799136,0
1.32316E-3,11.187907398,0.049872104,0.18,0.073434125,0
1.41205E-3,11.858378542,0.053044764,0.165714286,0.088552916,0
1.51881E-3,12.023820705,0.05682709,0.16,0.088552916,0
2.52357E-3,12.251941396,0.09100009,0.16,0.097192225,0
2.66998E-3,12.518939852,0.095773986,0.157142857,0.097192225,0
3.03663E-3,12.822602556,0.107511716,0.154285714,0.097192225,0
3.2662E-3,13.149222336,0.114707329,0.151428571,0.099352052,0
3.3978E-3,13.489002483,0.118780203,0.148571429,0.099352052,0
3.65468E-3,14.534030497,0.126622999,0.14,0.110151188,0
3.82171E-3,14.916201612,0.131648321,0.137142857,0.120950324,0
3.9002E-3,16.07056348,0.133989682,0.128571429,0.120950324,0
4.471E-3,16.306393217,0.150645202,0.125714286,0.120950324,0
4.95302E-3,16.505544956,0.164219362,0.125714286,0.125269978,0
5.53466E-3,18.682286587,0.18003191,0.114285714,0.133909287,0
5.90647E-3,19.272933812,0.189830458,0.111428571,0.17062635,0
5.99081E-3,19.87201524,0.19202065,0.108571429,0.17062635,0
6.06382E-3,20.4783976,0.193907014,0.105714286,0.17062635,0
6.06413E-3,22.904218341,0.193914855,0.091428571,0.172786177,0
6.30349E-3,23.133433931,0.20003798,0.091428571,0.174946004,0
6.77089E-3,23.581016472,0.211730175,0.091428571,0.181425486,0
7.62294E-3,24.343310331,0.232187738,0.088571429,0.181425486,0
7.76384E-3,25.119694101,0.235468845,0.085714286,0.181425486,0
8.16448E-3,25.555837265,0.244647116,0.082857143,0.183585313,0
8.54916E-3,25.974610188,0.253254826,0.082857143,0.192224622,0
8.78172E-3,28.562614025,0.258364017,0.074285714,0.192224622,0
9.50549E-3,30.391334786,0.273827092,0.068571429,0.228941685,0
9.81323E-3,33.273755953,0.280208123,0.06,0.257019438,0
1.00802E-2,39.188387879,0.285653068,0.042857143,0.287257019,0
1.04587E-2,40.23426053,0.29323493,0.04,0.319654428,0
1.07432E-2,41.473893465,0.298827918,0.034285714,0.336933045,0
1.22587E-2,42.506001205,0.327188961,0.034285714,0.343412527,0
1.2381E-2,43.744102989,0.329378699,0.031428571,0.343412527,0
1.3065E-2,46.751322919,0.341364064,0.022857143,0.345572354,0
1.42117E-2,47.641472606,0.360522253,0.022857143,0.352051836,0
1.49634E-2,47.864347317,0.3724884,0.02,0.38012959,0
1.58521E-2,48.127846475,0.386070467,0.02,0.390928726,0
1.6394E-2,48.288523471,0.394067754,0.02,0.39524838,0
1.97857E-2,49.294151451,0.439744377,0.02,0.447084233,0
2.14443E-2,49.785901578,0.459662224,0.02,0.451403888,0
2.29879E-2,54.229116159,0.4769676,0.014285714,0.455723542,0
2.3742E-2,54.666559411,0.485025986,0.011428571,0.455723542,0
2.77767E-2,57.006786948,0.524240206,0.011428571,0.470842333,0
2.9456E-2,57.416977776,0.538855866,0.008571429,0.475161987,0
3.02335E-2,57.606887836,0.545322763,0.008571429,0.477321814,0
3.1014E-2,57.797542365,0.551635097,0.008571429,0.479481641,0
3.24753E-2,58.154472225,0.562993326,0.008571429,0.492440605,0
3.39793E-2,58.521834607,0.574097867,0.008571429,0.496760259,0
4.23016E-2,60.554652107,0.626601445,0.008571429,0.498920086,0
4.42607E-2,61.03317009,0.637131443,0.008571429,0.501079914,0
4.57857E-2,61.405688776,0.644926577,0.008571429,0.509719222,0
4.70312E-2,61.709908685,0.651048377,0.008571429,0.514038877,0
4.79061E-2,61.960845687,0.655224146,0.005714286,0.520518359,0
4.92093E-2,62.334600616,0.661261655,0.005714286,0.533477322,0
6.34941E-2,66.431617658,0.715813061,0.005714286,0.546436285,0
6.63076E-2,67.238533401,0.724549717,0.005714286,0.548596112,0
6.93784E-2,68.119263477,0.733492351,0.005714286,0.55075594,0
7.22074E-2,68.930646126,0.741231903,0.005714286,0.568034557,0
7.46234E-2,69.245397075,0.747494316,0.002857143,0.578833693,0
8.95181E-2,71.185835823,0.780276665,0.002857143,0.598272138,0
1.05209E-1,73.229978698,0.806712015,0.002857143,0.600431965,0
1.39254E-1,77.665328712,0.846724701,0.002857143,0.637149028,0
1.47432E-1,78.730695404,0.853985113,0.002857143,0.641468683,0
1.96329E-1,85.100929262,0.886213353,0.002857143,0.64362851,0
3.10694E-1,100,0.924954232,0.002857143,0.645788337,0
3.11511E-1,100,0.9251365,0,0.645788337,0
4.07218E-1,100,0.941705608,0,0.656587473,0
9.07901E-1,100,0.972984944,0,0.665226782,0
9.78491E-1,100,0.974884919,0,0.669546436,0
1E0,100,0.97541183,0,0.671706263,0
