background,x,y,elev,ndvi,slope,canopy_h,bio1,bio2,dist_patrol,dist_rd,dist_vlg,dist_water
background,95.7703032933168,25.6818703931409,185.011385934869,0.740565143607919,14.5429591908462,15.2537144291024,23.5837282661167,23.5837282661167,25408.770777223,19078.1097729887,32392.1921005637,136.384104407996
background,95.7390132933168,25.6810573931409,201.487826611161,0.751688137852031,15.5192487929269,22.7250332051633,23.5251310777297,23.5251310777297,22276.5211265826,18389.4102640072,29299.9740024013,778.189659369578
background,95.5244532933168,25.6769923931409,191.38713892886,0.643310236397064,20.0328043534815,28.0726379830967,23.7363930881694,23.7363930881694,1977.14655883171,7695.75288654305,9000.69077317485,1486.21239379543
background,95.5435252933168,25.6604613931409,207.317423253586,0.710402970115641,2.87653201198084,30.1614406680668,23.6185374134463,23.6185374134463,4511.47090481246,7537.00411531717,11627.6403598141,1541.3389538144
background,95.6236872933168,25.6566673931409,183.296506222567,0.723111830976673,14.5875523945427,28.0207084001606,23.6019772731915,23.6019772731915,11415.5971763704,8035.86100936761,18858.2121643438,78.5297292545469
background,95.6382892933168,25.6547703931409,202.427461912254,0.674390271776745,5.75490180012772,32.6257818069134,23.5688275557807,23.5688275557807,12863.9794569746,8839.45875205943,20292.9647894616,382.157061553932
background,95.8230492933168,25.6455563931409,223.654545503292,0.65386744845078,8.57900298475522,30.9419190672145,23.4851343241464,23.4851343241464,31138.3165763132,16802.5963105121,32810.4076859514,362.440769259475
background,95.5110432933168,25.6404073931409,213.271110908029,0.71836366282966,1.94962296008736,30.2222553456021,23.5968552991629,23.5968552991629,5946.43771775656,4961.30068960898,9731.68263789446,2577.55409442752
background,95.5959732933168,25.6320063931409,227.208765558194,0.716911233544392,7.19138167677763,29.9356311693018,23.5564169726951,23.5564169726951,10426.1748209867,4224.16458413532,17507.0810784955,3363.51295222308
background,95.8567232933168,25.6168303931409,236.668957163558,0.71131487810381,5.1047381588695,27.4911976514432,23.4901408345391,23.4901408345391,35114.1310375509,16180.9923173505,30061.07890824,449.618054430238
background,95.6683872933168,25.6119523931409,216.762706926768,0.683546059405971,5.32359590225158,33.718619141473,23.5609414010883,23.5609414010883,17648.4934272509,8462.38558612543,24110.3591639988,692.957181609405
background,95.5736232933168,25.6081583931409,209.787461022807,0.662058242017013,2.5161904916075,33.6375113615583,23.6091538416146,23.6091538416146,11025.7770065209,1096.44017101128,14648.3712691153,1439.7570852759
background,95.4916732933168,25.6051773931409,238.977701309126,0.730047651538766,11.9606678667799,26.4075673868453,23.5930875162102,23.5930875162102,10154.4010033207,1988.16563450916,6645.24170976789,3199.18283923286
background,95.6514012933168,25.5856653931409,209.869179782794,0.711561616845108,2.05332664536766,32.5638733991306,23.6120698400745,23.6120698400745,18001.017074325,5195.99724191332,22176.4586925573,209.692079588393
background,95.7214312933168,25.5756383931409,219.140652441425,0.706235587470717,5.12548759149255,27.5455302547005,23.532207534334,23.532207534334,24301.1457700104,6791.61154564645,26290.0435728554,409.550092229515
background,95.5587232933168,25.5750963931409,202.330325607954,0.662126378415641,6.1371634321703,33.2094011107454,23.6918159560741,23.6918159560741,13780.4408365281,1757.69257193828,12878.6486202084,539.896009878518
background,95.9118532933168,25.5713023931409,287.405424898434,0.746678449861607,5.87046988221489,26.7718146248462,23.2239808396766,23.2239808396766,41870.4222852757,17994.3476113717,26432.5831966686,202.697293023769
background,95.7765612933168,25.5683213931409,273.856611365998,0.723279925910506,3.56344362347642,24.7418176977103,23.3400058726092,23.3400058726092,29495.9232539248,7053.11801042765,24323.2821789858,3216.55248971332
background,95.8263272933168,25.5610043931409,258.277317928986,0.723166006249525,9.4273489091026,30.3127560816997,23.5212035107201,23.5212035107201,34329.044159369,9814.3882482857,23495.7762004758,297.53758557082
background,95.7762632933168,25.5580233931409,237.401257770204,0.69270905219785,3.95273937936699,26.5736205289062,23.4821729991924,23.4821729991924,30025.6878490659,6034.3570722772,23192.094786588,2943.35245859388
background,95.4535292933168,25.5577523931409,202.967316004627,0.723465175055588,7.33133668571021,19.7401342114642,23.6578340630146,23.6578340630146,7401.65076504138,35.3676936769607,3506.47714632769,1750.70666918322
background,95.8355652933168,25.5485383931409,217.527048256402,0.67589378300998,3.83974453450382,29.3585287294007,23.5409667397394,23.5409667397394,35771.526172346,9946.34770370477,22241.9162214329,215.013310908144
background,95.4365432933168,25.5428473931409,216.193076061162,0.685860745391822,6.99653153074109,27.4983630130765,23.6441310632363,23.6441310632363,5413.1725148833,1196.16906645952,4350.33615190996,1606.95495799609
background,95.7387152933168,25.5284843931409,238.53529763865,0.760650857447483,10.6783724330675,21.9044324701658,23.4039997989608,23.4039997989608,28792.2440045554,2036.88529758434,20782.2603833248,1300.57719528999
background,95.8227512933168,25.5230643931409,240.657376111104,0.739751781579901,3.67452944522482,26.3479669757631,23.4894822600622,23.4894822600622,36028.0331106287,7867.52191007834,19275.6640012545,2089.23702822705
background,95.8471872933168,25.5225223931409,236.366050081089,0.679547774991592,9.72094484496687,28.9154410562083,23.4888047502375,23.4888047502375,38170.0728066238,10291.5903691282,19630.4652042423,1932.74940908342
background,95.7321592933168,25.5089723931409,245.137964845502,0.752148000177285,4.1320057006037,20.2102546046296,23.4989647451539,23.4989647451539,29688.6104766123,463.904996239208,18973.2287115235,1642.12357871673
background,95.7911632933168,25.5062623931409,232.393808989194,0.709872450187184,4.89767923606163,28.038964632337,23.4961204360768,23.4961204360768,33916.8107595946,4607.42265594163,17341.7995892612,1305.86892856755
background,95.5673652933168,25.4699483931409,184.415787604093,0.675636023035347,18.0699969792796,31.2178246249657,23.6965485389961,23.6965485389961,14026.6306051254,5233.30752156193,18496.0868833582,4.42990850384658
background,95.5101492933168,25.4688643931409,204.080315585643,0.706296634545319,5.3379398916003,32.6047749102517,23.6515817059325,23.6515817059325,8490.70911505503,38.4510547793824,12986.4143249611,723.997698097553
background,95.6257732933168,25.4653413931409,207.189225569623,0.701832543226175,4.77830187204657,29.6969671894312,23.664959344381,23.664959344381,19233.3844481052,5936.45586413664,21894.4527419852,987.658170127195
background,95.7378212933168,25.4474553931409,225.431405198688,0.706587552318441,7.17948025737279,30.4029341205612,23.5266051446114,23.5266051446114,25735.7838851628,2634.74811203351,12596.8896732235,2480.43619636045
background,95.5259432933168,25.4431193931409,213.402633070289,0.701996591039454,4.83787642994668,32.1708426672027,23.6284900696404,23.6284900696404,11149.5624450697,3113.136076322,14581.7520108109,475.939988363228
background,95.4833292933168,25.4371573931409,210.043394923247,0.687220505455598,4.24450533563951,31.6118790823386,23.6672673673691,23.6672673673691,8265.81781467261,24.0872540362179,10287.6975650021,1780.49610769397
background,95.7247092933168,25.4358023931409,203.795266417916,0.694027431154149,6.16488280822327,28.8914993895761,23.5625228280306,23.5625228280306,23921.4644935003,1466.60854095525,12305.0723923367,710.350979671142
background,95.4675352933168,25.4214393931409,211.744851867405,0.700218282753427,3.06298537726726,32.5941408708995,23.6669244865017,23.6669244865017,7875.50802466384,740.952877146277,8907.54353227676,1625.14870570893
background,95.4276032933168,25.4187293931409,159.332861747674,0.53466509304271,16.5913641380133,26.8888168799725,23.7392022279121,23.7392022279121,5354.17067599093,1036.73294231268,5180.63290881997,140.857718004845
background,95.6609372933168,25.3905453931409,215.621869259734,0.71430884027474,5.01397796356131,28.8354376032846,23.5427727982532,23.5427727982532,15816.5246641862,202.972751857248,14906.4426415363,685.114659877007
background,95.7318612933168,25.3680523931409,246.515511971624,0.714590633614494,3.83295135559955,23.5718316313775,23.5170792965658,23.5170792965658,21467.1456053726,3887.00413585843,7381.57443840595,1449.59840839687
background,95.7172592933168,25.3588383931409,242.447436251228,0.714609426012753,2.75160192483555,25.7378310539997,23.5163830884358,23.5163830884358,19789.828385161,3741.68733874554,8634.51321579191,767.367916436999
background,95.6031252933168,25.3355323931409,216.662187043878,0.656958884630698,4.58186530364977,30.8963564954018,23.6156585487836,23.6156585487836,8011.12239176741,2014.98970011993,15306.3223993606,980.567486411495
background,95.6031252933168,25.3290283931409,254.951144134267,0.690088592050781,3.27187286694329,26.935932770008,23.521947987196,23.521947987196,7859.946565413,1377.60453629213,15017.4605239893,974.3983703712
background,95.4323712933168,25.3149363931409,198.731119530305,0.671147582272933,22.3733918635261,32.0756394049221,23.7290905779975,23.7290905779975,6817.32574639526,715.047942016991,9511.4390457495,19.5730949910358
background,95.6010392933168,25.3111423931409,248.375949932607,0.710916931767375,4.66090068578538,30.5001815335023,23.6165128814119,23.6165128814119,7571.32811720092,256.056719209413,14097.776621433,415.009610769718
background,95.6308392933168,25.3108713931409,231.077162140229,0.703629493550434,3.45109306722399,26.209689036269,23.6209734065687,23.6209734065687,10566.6980103966,1182.24935510919,11697.1452196976,193.832406699441
background,95.6531892933168,25.3097873931409,267.540502843083,0.705292327881482,3.60781308461225,22.5685556671593,23.4940251389399,23.4940251389399,12821.3177326778,158.836820656103,9542.36366457592,700.298402220728
background,95.5035932933168,25.2919013931409,284.008720966765,0.737471436311287,2.71492773545549,28.9591054492918,23.5459493909967,23.5459493909967,3614.30734935585,123.865800496007,16833.5723404669,1544.75380909182
background,95.6487192933168,25.2835003931409,265.953203569211,0.695839165836,8.10403444100053,32.2537433959428,23.3599109671242,23.3599109671242,12899.6100408915,3080.1117524231,8690.97427381131,3023.44563783708
background,95.4279012933168,25.2780803931409,211.118841924856,0.651924012059701,8.45339250518317,32.2538153667742,23.6685722615751,23.6685722615751,10675.6899789359,1610.44571902115,12320.0100413838,38.7817056127824
background,95.6457392933168,25.2732023931409,308.073760639678,0.726005286848083,5.0969465578941,27.3555200666132,23.354395671077,23.354395671077,12997.1945381437,4231.08708023636,7959.99015958866,4133.43491329606
background,95.3084032933168,25.2672403931409,165.930272469529,0.753914745407191,7.50220385167161,14.3953821985436,23.862105181327,23.862105181327,2709.47902931349,3975.66079072717,5301.51432966753,601.783289615821
