background,x,y,elev,ndvi,slope,canopy_h,bio1,bio2,dist_patrol,dist_rd,dist_vlg,dist_water
background,95.4782632933168,25.6929813931409,191.318410132939,0.688833859978136,6.39263884565937,25.6164917092668,23.6498545402263,23.6498545402263,3954.59173683938,4474.0369273828,4355.67648942555,1802.3195346396
background,95.7703032933168,25.6818703931409,185.011385934869,0.740565143607919,14.5429591908462,15.2537144291024,23.5837282661167,23.5837282661167,25408.770777223,19078.1097729887,32392.1921005637,136.384104407996
background,95.7363312933168,25.6778053931409,213.555107811058,0.679093298066735,5.45069533839436,28.8374774014918,23.6242799367864,23.6242799367864,22033.9359234204,17941.9194584411,29095.2204708572,358.23930501566
background,95.5244532933168,25.6769923931409,191.38713892886,0.643310236397064,20.0328043534815,28.0726379830967,23.7363930881694,23.7363930881694,1977.14655883171,7695.75288654305,9000.69077317485,1486.21239379543
background,95.7694092933168,25.6675073931409,218.410442887758,0.735325163800723,7.4122541868579,27.7576864965995,23.6009036670381,23.6009036670381,25452.9484220027,17488.3030536293,32571.0711487376,942.044087797307
background,95.6236872933168,25.6566673931409,183.296506222567,0.723111830976673,14.5875523945427,28.0207084001606,23.6019772731915,23.6019772731915,11415.5971763704,8035.86100936761,18858.2121643438,78.5297292545469
background,95.6382892933168,25.6547703931409,202.427461912254,0.674390271776745,5.75490180012772,32.6257818069134,23.5688275557807,23.5688275557807,12863.9794569746,8839.45875205943,20292.9647894616,382.157061553932
background,95.5110432933168,25.6404073931409,213.271110908029,0.71836366282966,1.94962296008736,30.2222553456021,23.5968552991629,23.5968552991629,5946.43771775656,4961.30068960898,9731.68263789446,2577.55409442752
background,95.5959732933168,25.6320063931409,227.208765558194,0.716911233544392,7.19138167677763,29.9356311693018,23.5564169726951,23.5564169726951,10426.1748209867,4224.16458413532,17507.0810784955,3363.51295222308
background,95.5310092933168,25.6252313931409,204.939225987121,0.688046238623102,3.31873904179295,32.4438301596234,23.6064354539481,23.6064354539481,7709.27520100972,5006.24729789131,11163.0198557008,668.256443858557
background,95.8567232933168,25.6168303931409,236.668957163558,0.71131487810381,5.1047381588695,27.4911976514432,23.4901408345391,23.4901408345391,35114.1310375509,16180.9923173505,30061.07890824,449.618054430238
background,95.5736232933168,25.6081583931409,209.787461022807,0.662058242017013,2.5161904916075,33.6375113615583,23.6091538416146,23.6091538416146,11025.7770065209,1096.44017101128,14648.3712691153,1439.7570852759
background,95.4916732933168,25.6051773931409,238.977701309126,0.730047651538766,11.9606678667799,26.4075673868453,23.5930875162102,23.5930875162102,10154.4010033207,1988.16563450916,6645.24170976789,3199.18283923286
background,95.6514012933168,25.5856653931409,209.869179782794,0.711561616845108,2.05332664536766,32.5638733991306,23.6120698400745,23.6120698400745,18001.017074325,5195.99724191332,22176.4586925573,209.692079588393
background,95.8993372933168,25.5783483931409,376.145504546524,0.766032818207427,18.8908646373951,15.0670314869732,23.075202620984,23.075202620984,40427.7086251632,17155.150589497,26999.05611661,1161.01718495078
background,95.5587232933168,25.5750963931409,202.330325607954,0.662126378415641,6.1371634321703,33.2094011107454,23.6918159560741,23.6918159560741,13780.4408365281,1757.69257193828,12878.6486202084,539.896009878518
background,95.9118532933168,25.5713023931409,287.405424898434,0.746678449861607,5.87046988221489,26.7718146248462,23.2239808396766,23.2239808396766,41870.4222852757,17994.3476113717,26432.5831966686,202.697293023769
background,95.7765612933168,25.5683213931409,273.856611365998,0.723279925910506,3.56344362347642,24.7418176977103,23.3400058726092,23.3400058726092,29495.9232539248,7053.11801042765,24323.2821789858,3216.55248971332
