Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
8.49645E-12,0.000000001,0,0.885714286,0.017278618,0
9.43215E-12,0.000000003,0,0.871428571,0.017278618,0
2.42231E-11,0.000000011,0,0.842857143,0.017278618,0
5.45631E-11,0.000000026,0.000000001,0.821428571,0.017278618,0
1.28996E-10,0.000000103,0.000000001,0.75,0.017278618,0
3.02367E-10,0.000000266,0.000000003,0.7,0.017278618,0
6.70341E-10,0.000001038,0.000000006,0.592857143,0.017278618,0
5.70301E-9,0.000003023,0.000000055,0.521428571,0.017278618,0
2.21763E-8,0.000011196,0.000000215,0.471428571,0.023758099,0
5.14604E-8,0.000029787,0.000000498,0.435714286,0.023758099,0
1.03034E-7,0.000054361,0.000000997,0.414285714,0.023758099,0
1.57909E-7,0.000106192,0.000001527,0.385714286,0.025917927,0
4.56473E-7,0.000271721,0.000004415,0.342857143,0.025917927,0
1.1666E-6,0.000566318,0.000011284,0.321428571,0.034557235,0
1.99952E-6,0.001071449,0.000019341,0.3,0.034557235,0
6.16115E-6,0.002764257,0.000059592,0.264285714,0.047516199,0
2.10594E-5,0.005202824,0.000203663,0.25,0.058315335,0
5.99155E-5,0.014033425,0.000579218,0.242857143,0.082073434,0
7.25859E-5,0.027300788,0.00070162,0.228571429,0.084233261,0
1.2718E-4,0.053194664,0.001228685,0.207142857,0.088552916,0
2.793E-4,0.100529064,0.002694351,0.192857143,0.103671706,0
5.78206E-4,0.210186359,0.005561796,0.178571429,0.118790497,0
1.01902E-3,0.332596688,0.009760647,0.171428571,0.136069114,0
1.09009E-3,0.455472715,0.010434243,0.164285714,0.138228942,0
1.22572E-3,0.527288436,0.011717285,0.157142857,0.140388769,0
1.37591E-3,0.613219777,0.01313421,0.15,0.142548596,0
1.52977E-3,0.725463048,0.014581466,0.15,0.146868251,0
1.60945E-3,0.774614371,0.015329317,0.142857143,0.151187905,0
1.67008E-3,0.808391925,0.015897582,0.142857143,0.155507559,0
1.84746E-3,0.907221607,0.017556507,0.142857143,0.164146868,0
2.16342E-3,1.08841121,0.020497543,0.135714286,0.168466523,0
2.29632E-3,1.165036984,0.021729354,0.135714286,0.17062635,0
2.65655E-3,1.255853565,0.025052609,0.128571429,0.17062635,0
3.24638E-3,1.404558494,0.03044569,0.128571429,0.172786177,0
3.69828E-3,1.51848965,0.034537433,0.128571429,0.179265659,0
4.57439E-3,2.00306986,0.04237254,0.121428571,0.18574514,0
4.86388E-3,2.48945784,0.04493357,0.114285714,0.18574514,0
6.26033E-3,2.732650099,0.057097696,0.107142857,0.18574514,0
7.24171E-3,2.903556708,0.065462451,0.107142857,0.187904968,0
9.69824E-3,3.331362294,0.085764149,0.107142857,0.190064795,0
1.07571E-2,3.515767467,0.09424565,0.107142857,0.192224622,0
1.58298E-2,5.214774872,0.1327869,0.1,0.194384449,0
1.65651E-2,6.871289641,0.138103569,0.092857143,0.194384449,0
1.66795E-2,7.2151792,0.138924215,0.085714286,0.194384449,0
1.71347E-2,8.584763499,0.142177093,0.085714286,0.196544276,0
2.13629E-2,10.721057505,0.171252775,0.078571429,0.196544276,0
2.26472E-2,11.178285197,0.179698007,0.071428571,0.196544276,0
2.31251E-2,11.348427507,0.182796849,0.071428571,0.198704104,0
2.65259E-2,12.559172504,0.204190028,0.071428571,0.203023758,0
2.93635E-2,13.569386089,0.221201079,0.071428571,0.205183585,0
3.06231E-2,16.754093945,0.22852164,0.064285714,0.207343413,0
3.39713E-2,17.847781887,0.247327605,0.057142857,0.207343413,0
3.48972E-2,18.150234481,0.252367528,0.057142857,0.20950324,0
3.88518E-2,19.441992715,0.273154162,0.057142857,0.211663067,0
4.41343E-2,21.167524379,0.29918228,0.057142857,0.213822894,0
4.52982E-2,25.69734186,0.304668286,0.05,0.213822894,0
4.59592E-2,26.722070583,0.307746049,0.042857143,0.213822894,0
4.77279E-2,29.463931535,0.315848786,0.042857143,0.215982721,0
4.84218E-2,30.539518979,0.318975795,0.042857143,0.218142549,0
5.97514E-2,36.514660484,0.366273004,0.035714286,0.218142549,0
6.7326E-2,43.247257257,0.394392341,0.028571429,0.218142549,0
7.76174E-2,51.009001002,0.428826637,0.021428571,0.218142549,0
7.93863E-2,51.791533204,0.434354508,0.014285714,0.218142549,0
8.55217E-2,54.50580372,0.45272605,0.014285714,0.220302376,0
8.61648E-2,54.790334167,0.454583022,0.014285714,0.222462203,0
1.00009E-1,60.915106013,0.491708718,0.014285714,0.22462203,0
1.00286E-1,61.037635991,0.492399944,0.014285714,0.226781857,0
1.55297E-1,68.445403928,0.600346006,0.007142857,0.226781857,0
2.24549E-1,77.770966846,0.684744624,0.007142857,0.228941685,0
3.29467E-1,91.899255724,0.761158933,0.007142857,0.231101512,0
3.35101E-1,92.657909764,0.764227667,0.007142857,0.235421166,0
3.78645E-1,98.521559547,0.785526157,0.007142857,0.237580994,0
3.80827E-1,98.815458306,0.786492871,0.007142857,0.239740821,0
3.89624E-1,100,0.790302387,0.007142857,0.241900648,0
4.9626E-1,100,0.827593684,0,0.241900648,0
5.43868E-1,100,0.840274845,0,0.244060475,0
7.02472E-1,100,0.871711029,0,0.246220302,0
7.04732E-1,100,0.872069862,0,0.24838013,0
7.32378E-1,100,0.876301639,0,0.250539957,0
9.94819E-1,100,0.905862269,0,0.252699784,0
1E0,100,0.906304325,0,0.254859611,0
