Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
2.2765E-6,0.00022765,0.00005464,0.86,0.059001513,0
2.29587E-6,0.000457236,0.000055105,0.858,0.059001513,0
2.34924E-6,0.00069216,0.000056386,0.856,0.059001513,0
2.41253E-6,0.001169398,0.000057905,0.852,0.059001513,0
2.53036E-6,0.00265584,0.000060733,0.84,0.059001513,0
2.85117E-6,0.005087604,0.000068433,0.822,0.059001513,0
3.34023E-6,0.010277735,0.00008017,0.788,0.059001513,0
4.97002E-6,0.025190349,0.000119282,0.716,0.059001513,0
6.87675E-6,0.050149104,0.000165037,0.632,0.059001513,0
1.09206E-5,0.100619348,0.000262061,0.514,0.059001513,0
1.92894E-5,0.200607925,0.000462794,0.38,0.059001513,0
3.05986E-5,0.301553071,0.000733927,0.296,0.063540091,0
6.06014E-5,0.400837452,0.001452516,0.25,0.066565809,0
1.12279E-4,0.51020713,0.002687823,0.222,0.066565809,0
1.87593E-4,0.602329834,0.004482646,0.21,0.068078669,0
3.00412E-4,0.709278646,0.00715924,0.202,0.090771558,0
3.30836E-4,0.764563945,0.00787857,0.198,0.092284418,0
3.76555E-4,0.804963145,0.008957585,0.196,0.095310136,0
4.38878E-4,0.903149322,0.010424667,0.19,0.101361573,0
4.79553E-4,1.037140144,0.011379846,0.186,0.104387292,0
5.08657E-4,1.128989754,0.012062154,0.182,0.104387292,0
5.30778E-4,1.241164396,0.012580113,0.178,0.105900151,0
5.67653E-4,1.313503087,0.013442344,0.174,0.105900151,0
6.17552E-4,1.419024463,0.01460673,0.172,0.107413011,0
7.14154E-4,1.551930355,0.016853107,0.168,0.107413011,0
7.4026E-4,1.772378483,0.01745844,0.162,0.110438729,0
8.8706E-4,2.011147396,0.020848414,0.156,0.116490166,0
1.0819E-3,2.250893789,0.025311855,0.15,0.125567322,0
1.17654E-3,2.570619972,0.027465211,0.146,0.1301059,0
1.28236E-3,2.819362919,0.029861573,0.142,0.133131619,0
1.34277E-3,3.048086235,0.031224348,0.138,0.133131619,0
1.40217E-3,3.36450382,0.03256085,0.134,0.134644478,0
1.56066E-3,3.520570185,0.036108336,0.132,0.139183056,0
1.65819E-3,3.783623518,0.038278459,0.128,0.140695915,0
1.89993E-3,4.039033721,0.043615466,0.126,0.145234493,0
1.9592E-3,4.257646963,0.044915003,0.122,0.146747352,0
2.07757E-3,4.648325394,0.047499791,0.12,0.149773071,0
2.0993E-3,4.858255519,0.047972693,0.118,0.149773071,0
2.11011E-3,5.069266938,0.048207876,0.116,0.149773071,0
2.11183E-3,5.28045036,0.048245276,0.114,0.15128593,0
2.14492E-3,5.706895599,0.048964113,0.11,0.15128593,0
2.22278E-3,5.929173211,0.050651391,0.108,0.15128593,0
2.48358E-3,6.177530864,0.056260014,0.106,0.15279879,0
2.51026E-3,6.279209026,0.056830149,0.104,0.15279879,0
2.61963E-3,6.546011679,0.059159617,0.102,0.157337368,0
2.74451E-3,6.978633592,0.061805606,0.1,0.161875946,0
2.79859E-3,7.112150804,0.062946731,0.098,0.161875946,0
2.86036E-3,7.264669594,0.064246863,0.098,0.164901664,0
2.90363E-3,7.552206179,0.065155359,0.096,0.164901664,0
3.01647E-3,7.775109165,0.067516503,0.094,0.17397882,0
3.17499E-3,8.033477193,0.070813342,0.092,0.181543116,0
3.3181E-3,8.418328104,0.073769752,0.09,0.189107413,0
3.33617E-3,8.522567225,0.074141649,0.09,0.190620272,0
3.40131E-3,8.854333989,0.075480076,0.088,0.190620272,0
3.41503E-3,9.204369074,0.075761574,0.086,0.192133132,0
3.49984E-3,9.538754211,0.077497122,0.084,0.192133132,0
3.58416E-3,9.841800395,0.079216342,0.082,0.19515885,0
3.68255E-3,10.00085108,0.081214264,0.08,0.199697428,0
3.95817E-3,10.303973574,0.086765379,0.08,0.204236006,0
3.99437E-3,10.571186117,0.087489478,0.078,0.208774584,0
4.12979E-3,10.997272229,0.0901881,0.076,0.210287443,0
4.13219E-3,11.002993553,0.090235856,0.076,0.211800303,0
4.27144E-3,11.439842146,0.092993816,0.074,0.21785174,0
4.29305E-3,11.517992979,0.093420387,0.074,0.219364599,0
4.71799E-3,11.858873718,0.101726806,0.072,0.223903177,0
4.9481E-3,12.024416138,0.106161674,0.072,0.231467474,0
5.02734E-3,12.564671264,0.107678648,0.07,0.234493192,0
5.12626E-3,13.077297624,0.10956528,0.068,0.237518911,0
5.14978E-3,13.257075518,0.110012593,0.066,0.237518911,0
5.19421E-3,13.59671818,0.110856446,0.066,0.23903177,0
5.26112E-3,14.122830459,0.112124483,0.064,0.23903177,0
5.36201E-3,14.65047655,0.114029332,0.062,0.240544629,0
5.66559E-3,15.077265867,0.119712592,0.06,0.245083207,0
5.83478E-3,15.820793724,0.122848314,0.058,0.252647504,0
5.87802E-3,16.063678018,0.12364608,0.056,0.252647504,0
5.9402E-3,16.413014104,0.12479095,0.056,0.254160363,0
6.06762E-3,17.02160899,0.127127446,0.054,0.255673222,0
6.10794E-3,17.632402625,0.127864093,0.052,0.257186082,0
6.28174E-3,17.908824385,0.13102577,0.05,0.258698941,0
6.37028E-3,18.049636224,0.132627562,0.05,0.2602118,0
6.51775E-3,18.284177178,0.13528249,0.05,0.26172466,0
6.53756E-3,18.937933001,0.135637944,0.048,0.26172466,0
6.73495E-3,19.332406257,0.139163425,0.046,0.26172466,0
6.83415E-3,19.53065265,0.140924353,0.046,0.264750378,0
6.95918E-3,20.322043306,0.143133385,0.044,0.272314675,0
7.13387E-3,20.518067013,0.146201161,0.042,0.278366112,0
7.37699E-3,20.790866008,0.150434097,0.042,0.285930408,0
7.64006E-3,21.086049248,0.154967336,0.042,0.288956127,0
7.64051E-3,21.850100435,0.154975091,0.04,0.288956127,0
7.68756E-3,22.618856435,0.155780723,0.038,0.288956127,0
7.76631E-3,22.777648073,0.157125762,0.036,0.291981846,0
7.88847E-3,23.02397968,0.159203844,0.036,0.295007564,0
8.0887E-3,23.427726618,0.162587828,0.036,0.296520424,0
8.10612E-3,23.622638968,0.162880963,0.034,0.296520424,0
8.16165E-3,24.243891548,0.163813918,0.034,0.298033283,0
8.21042E-3,24.362316918,0.164631651,0.032,0.298033283,0
8.31624E-3,24.619277982,0.166400493,0.032,0.301059002,0
8.47908E-3,25.014678665,0.169107726,0.032,0.302571861,0
8.74998E-3,25.491660689,0.173572751,0.03,0.305597579,0
8.76541E-3,25.517400156,0.173825688,0.03,0.307110439,0
8.94962E-3,25.824617572,0.176832739,0.03,0.313161876,0
9.05516E-3,26.000627932,0.17854569,0.03,0.314674735,0
9.35818E-3,26.30833344,0.183424609,0.028,0.316187595,0
9.67537E-3,26.630425368,0.188469936,0.028,0.323751891,0
1.00443E-2,27.005057841,0.1942604,0.028,0.32526475,0
1.0217E-2,28.026758237,0.196942752,0.026,0.32526475,0
1.03044E-2,28.383668135,0.198293188,0.024,0.32526475,0
1.03366E-2,28.515362399,0.198790332,0.024,0.32677761,0
1.04021E-2,28.782553283,0.199797081,0.024,0.328290469,0
1.04673E-2,29.049236237,0.200799397,0.024,0.329803328,0
1.07267E-2,29.27971054,0.204755898,0.022,0.334341906,0
1.1074E-2,29.561666056,0.209993217,0.022,0.340393343,0
1.17675E-2,30.124656228,0.22024704,0.022,0.344931921,0
1.19447E-2,30.268576468,0.222825703,0.022,0.349470499,0
1.2416E-2,30.56060984,0.229598589,0.02,0.350983359,0
1.27797E-2,30.785983473,0.234745325,0.02,0.355521936,0
1.34409E-2,31.195704428,0.243927873,0.02,0.363086233,0
1.39837E-2,31.53208859,0.251303692,0.02,0.364599092,0
1.43443E-2,32.691070533,0.256123944,0.018,0.367624811,0
1.43889E-2,33.131794512,0.256716154,0.018,0.36913767,0
1.44591E-2,33.399415,0.25764547,0.016,0.36913767,0
1.47763E-2,34.609429096,0.261818414,0.016,0.37065053,0
1.54978E-2,34.845883921,0.271135502,0.014,0.375189107,0
1.62212E-2,35.082988411,0.280244976,0.014,0.385779123,0
1.6851E-2,35.289391388,0.287991517,0.014,0.393343419,0
