background,x,y,bio3,bio4,bio7,bio11,bio12
background,-1.5,10.000007823,64.6388778686523,1644.00061035156,180.583374023438,257.805541992188,1035.08276367188
background,-1.5,19.000007823,50.4166526794434,5342.64453125,321.472473144531,211.777694702148,70.6387100219727
background,-1.5,37.000007823,38.1111068725586,5641.39599609375,268.222564697266,91.0552444458008,380.834411621094
background,-1.5,52.000007823,35.5277633666992,4712.83251953125,205.47216796875,36.555549621582,726.611938476562
background,-1.5,61.000007823,32.600025177002,3230.79907226562,132.399963378906,29.6000843048096,1195.19897460938
background,-10.5,16.000007823,53.4166679382324,3456.86254882812,265.583343505859,238.805541992188,334.8603515625
background,-10.5,19.000007823,49.4999961853027,4937.86181640625,288.555572509766,213.999969482422,91.4722213745117
background,-10.5,22.000007823,47.694450378418,5883.8037109375,329.611053466797,193.027770996094,37.666690826416
background,-10.5,28.000007823,48.0000381469727,4456.759765625,257.257415771484,143.258148193359,76.0646514892578
background,-10.5,4.000007823,83.0000762939453,566.002380371094,115,246,3837.99047851562
background,-100.5,16.000007823,77.9999618530273,801.858581542969,161.71435546875,254.713958740234,1290.85693359375
background,-100.5,19.000007823,67.4722061157227,1706.00231933594,219.277893066406,180.611129760742,1002.77667236328
background,-100.5,31.000007823,41.5833282470703,7265.890625,350.638946533203,83.1666412353516,558.99951171875
background,-100.5,52.000007823,22.3611106872559,13046.9443359375,488,-169.611114501953,471.916625976562
background,-103.5,34.000007823,43.8888893127441,7802.75,385.083374023438,42.4721832275391,396.305358886719
background,-103.5,37.000007823,41.5833358764648,8407.0263671875,410.027770996094,4.61101484298706,382.694458007812
background,-103.5,49.000007823,27.5277729034424,11937.1943359375,479.972229003906,-124.88890838623,389.527679443359
background,-103.5,52.000007823,23.1944427490234,12875.361328125,489.916656494141,-167.222229003906,435.777740478516
background,-103.5,79.000007823,14,14551.0556640625,464.5,-369.055572509766,99.6110992431641
background,-106.5,25.000007823,59.2727279663086,3612.24291992188,259.787933349609,136.757553100586,847.273010253906
background,-106.5,28.000007823,53.3055572509766,5297.4169921875,325.666687011719,87.7499694824219,511.750152587891
background,-106.5,40.000007823,39.8055534362793,8146.640625,393.388946533203,-74.4166870117188,484.638488769531
background,-106.5,52.000007823,24.7777805328369,12454.5830078125,478.805541992188,-150.083343505859,374.083343505859
background,-106.5,79.000007823,13.2499942779541,14458.25,459,-363,75.4999847412109
background,-109.5,19.000007823,44.2500038146973,2719.74975585938,141.999984741211,206.499938964844,285.750213623047
background,-109.5,22.000007823,56.6250076293945,3778.62475585938,227.125015258789,186.374786376953,258.750579833984
background,-109.5,25.000007823,57.5882377624512,4430.1767578125,265,180.235260009766,335.352722167969
background,-109.5,28.000007823,54.0605926513672,5103.21435546875,304.121215820312,149.545547485352,575.8173828125
background,-109.5,46.000007823,36.8888893127441,8502.9443359375,400.722229003906,-58.1666297912598,459.083282470703
background,-109.5,49.000007823,31.7777729034424,10374.7509765625,450.611114501953,-91.5833358764648,347.555450439453
background,-109.5,52.000007823,25.8611145019531,11917.361328125,468.972229003906,-139.583343505859,367.888946533203
background,-112.5,37.000007823,41.0555572509766,8053.193359375,390.666625976562,3.83325362205505,297.917053222656
background,-112.5,46.000007823,37.7222290039062,8078.6923828125,388.999938964844,-68.2222366333008,425.528045654297
background,-112.5,52.000007823,28.7222232818604,10825.83203125,442.249938964844,-119.249992370605,400.472381591797
background,-112.5,79.000007823,12,14488.9228515625,454.615386962891,-362.615386962891,69
background,-115.5,34.000007823,42.6666641235352,7367.50048828125,356.222259521484,104.166717529297,182.388565063477
background,-115.5,49.000007823,33.6666717529297,7770.27783203125,359.027740478516,-66.6388626098633,719.944519042969
background,-118.5,37.000007823,42.8055648803711,7007.609375,350.055541992188,26.9443798065186,366.694854736328
background,-121.5,34.000007823,59.75,3221.49829101562,223.750106811523,103.999961853027,504.4990234375
background,-124.5,40.000007823,51.8461608886719,4489.2236328125,262.153442382812,57.3076667785645,1336.00109863281
background,-124.5,46.000007823,45.6923141479492,4416.6875,226.461273193359,44.1538238525391,2147.3125
background,-13.5,10.000007823,61.5356979370117,1503.2509765625,181.714309692383,252.214340209961,2625.42944335938
background,-13.5,64.000007823,34.0000228881836,3610.85766601562,150.000030517578,-23.0000419616699,1392.28527832031
background,-154.5,19.000007823,71.6666641235352,1102.33349609375,120.666648864746,171.000045776367,1848.83422851562
background,-16.5,13.000007823,63.0476455688477,1485.95104980469,208.714202880859,246.380935668945,1035.28405761719
background,-16.5,25.000007823,56.3333511352539,2282.99365234375,159.332962036133,178.000045776367,38.6667747497559
background,-16.5,64.000007823,33.7727279663086,3885.9560546875,161.909164428711,-35.2728309631348,1397.27270507812
background,-16.5,76.000007823,21,9220.001953125,320.000061035156,-202.000045776367,206
background,-160.5,-19.999992177,61,1287,90,230.5,2146.5
background,-166.5,52.000007823,25.0000057220459,4004.66674804688,170.66667175293,-2.99999976158142,942.666625976562
background,-169.5,52.000007823,26.2857151031494,3741.28564453125,159.714279174805,1.14283406734467,979.857177734375
background,-172.5,-1.999992177,90,111,65,283,525
background,-172.5,25.000007823,47,2191,113,207,1050
background,-175.5,-22.999992177,55,1774,113,209,1552
background,-178.5,52.000007823,29.5,3546.00024414062,149.750015258789,0.375040620565414,1422.49987792969
